,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,init_time,timed_out,init_pos_x,init_pos_y,init_pos_z,response_time,fin_pos_x,fin_pos_y,fin_pos_z,accuracy,convergencedistance_convergence_location_0,validconvergence_convergence_location_0,eyeblinking_blinking_location_0,gazeray_gazeray_location_0,gazeraylocal_gazeray_local_location_0,controllertracker_movement_location_0,headtracker_movement_location_0,fpstracker_fps_location_0,positioncontrollertracker_velocity_location_0,velocitycontrollertracker_velocity_location_0,controllertracker_super_science_location_0,vrcameratracker_movement_location_0,trackinglosstracker_tracking_loss_location_0,response,correct,central_stimulus_direction,flanker_stimuli_direction
0,VR-4-Way-Flanker-Settings,P01,1,1,1,1,195.3133,197.3342,196.1333,0,-0.005948,1.031842,0.53096,197.1222,-0.001609,1.280579,0.79944,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T001.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T001.csv,,,,
1,VR-4-Way-Flanker-Settings,P01,1,2,1,2,201.8108,203.8324,202.6667,0,0.013496,1.016105,0.531494,203.6111,0.294454,0.982005,0.800335,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T002.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T002.csv,,,,
2,VR-4-Way-Flanker-Settings,P01,1,3,1,3,207.8064,210.0952,208.7556,0,-0.00548,0.989188,0.483117,209.8778,0.013842,0.683036,0.805589,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T003.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T003.csv,,,,
3,VR-4-Way-Flanker-Settings,P01,1,4,1,4,213.4828,214.5264,213.9333,0,-0.005558,0.983024,0.520757,214.3111,-0.022995,0.710751,0.775624,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T004.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T004.csv,,,,
4,VR-4-Way-Flanker-Settings,P01,1,5,1,5,217.2911,218.4586,217.7778,0,0.003489,1.041103,0.524685,218.2444,0.001687,1.28923,0.780705,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T005.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T005.csv,,,,
5,VR-4-Way-Flanker-Settings,P01,1,6,1,6,221.823,223.0885,222.3445,0,-4.2e-05,1.026324,0.532117,222.8667,-0.002411,1.28122,0.805925,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T006.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T006.csv,,,,
6,VR-4-Way-Flanker-Settings,P01,1,7,1,7,226.221,227.4205,226.6445,0,-0.009191,0.989471,0.51749,227.2,-0.015542,0.686171,0.788328,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T007.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T007.csv,,,,
7,VR-4-Way-Flanker-Settings,P01,1,8,1,8,230.2194,231.474,230.8,0,-7.3e-05,1.0353,0.534889,231.2556,0.001472,1.287274,0.782556,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T008.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T008.csv,,,,
8,VR-4-Way-Flanker-Settings,P01,1,9,1,9,234.4398,235.5166,234.7889,0,0.020426,1.006036,0.526921,235.3111,0.280626,0.989715,0.78374,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T009.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T009.csv,,,,
9,VR-4-Way-Flanker-Settings,P01,1,10,1,10,238.371,239.5481,238.7556,0,-0.029581,1.011075,0.51404,239.3333,-0.297388,0.981375,0.795545,0,VR-4-Way-Flanker-Settings/P01/S001/trackers/convergencedistance_convergence_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/validconvergence_convergence_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/eyeblinking_blinking_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeray_gazeray_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/gazeraylocal_gazeray_local_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_movement_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/headtracker_movement_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/fpstracker_fps_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/positioncontrollertracker_velocity_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/velocitycontrollertracker_velocity_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/controllertracker_super_science_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/vrcameratracker_movement_T010.csv,VR-4-Way-Flanker-Settings/P01/S001/trackers/trackinglosstracker_tracking_loss_T010.csv,,,,
