experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,initial_time,init_pos_x,init_pos_y,init_pos_z,final_time,fin_pos_x,fin_pos_y,fin_pos_z,time_out,accuracy,congruency,cue_gazetracker_location_0,lefttarget_gazetracker_location_0,righttarget_gazetracker_location_0,leftstimulus_gazetracker_location_0,rightstimulus_gazetracker_location_0,convergencedistance_convergence_location_0,validconvergence_convergence_location_0,eyeblinking_blinking_location_0,gazeray_gazeray_location_0,controllertracker_movement_location_0,headtracker_movement_location_0,fpstracker_fps_location_0,counterbalance,stimulus,stimulus_location,stimulus_presentation
vr_simon_task,P01,1,1,1,1,2528.532,2531.633,2530.867,-0.035026,0.93403,0.405637,2531.633,-0.229855,1.000999,0.625116,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T001.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T001.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T001.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T001.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T001.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T001.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T001.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T001.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T001.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T001.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T001.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T001.csv,,,,
vr_simon_task,P01,1,2,1,2,2535.175,2538.711,2538.178,0.034396,0.925021,0.4194,2538.711,0.220479,0.993286,0.645965,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T002.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T002.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T002.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T002.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T002.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T002.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T002.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T002.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T002.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T002.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T002.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T002.csv,,,,
vr_simon_task,P01,1,3,1,3,2542.308,2543.433,2542.9,-0.042926,0.923454,0.40627,2543.433,-0.237482,0.974556,0.635798,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T003.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T003.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T003.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T003.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T003.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T003.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T003.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T003.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T003.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T003.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T003.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T003.csv,,,,
vr_simon_task,P01,1,4,1,4,2546.516,2547.6,2547.111,-0.041507,0.924921,0.408218,2547.6,-0.23161,0.97684,0.638507,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T004.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T004.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T004.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T004.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T004.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T004.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T004.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T004.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T004.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T004.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T004.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T004.csv,,,,
vr_simon_task,P01,1,5,1,5,2551.054,2561.489,2561.033,-0.045501,0.91655,0.420164,2561.489,-0.237166,1.004611,0.621088,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T005.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T005.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T005.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T005.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T005.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T005.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T005.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T005.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T005.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T005.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T005.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T005.csv,,,,
vr_simon_task,P01,1,6,1,6,2564.616,2565.7,2565.211,0.045655,0.92399,0.404235,2565.7,0.23061,0.98233,0.636044,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T006.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T006.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T006.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T006.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T006.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T006.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T006.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T006.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T006.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T006.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T006.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T006.csv,,,,
vr_simon_task,P01,1,7,1,7,2568.706,2569.6,2569.211,-0.045242,0.919735,0.417067,2569.6,-0.234508,0.979446,0.631427,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T007.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T007.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T007.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T007.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T007.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T007.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T007.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T007.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T007.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T007.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T007.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T007.csv,,,,
vr_simon_task,P01,1,8,1,8,2572.6,2573.567,2573.145,-0.038483,0.92627,0.414397,2573.567,-0.224048,0.989455,0.639128,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T008.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T008.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T008.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T008.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T008.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T008.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T008.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T008.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T008.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T008.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T008.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T008.csv,,,,
vr_simon_task,P01,1,9,1,9,2576.541,2577.533,2577.022,0.043605,0.926247,0.396662,2577.533,0.228792,0.987543,0.630626,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T009.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T009.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T009.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T009.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T009.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T009.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T009.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T009.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T009.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T009.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T009.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T009.csv,,,,
vr_simon_task,P01,1,10,1,10,2580.572,2581.533,2581.044,0.043782,0.914582,0.406127,2581.533,0.233565,0.98485,0.62966,0,,,vr_simon_task/P01/S001/trackers/cue_gazetracker_T010.csv,vr_simon_task/P01/S001/trackers/lefttarget_gazetracker_T010.csv,vr_simon_task/P01/S001/trackers/righttarget_gazetracker_T010.csv,vr_simon_task/P01/S001/trackers/leftstimulus_gazetracker_T010.csv,vr_simon_task/P01/S001/trackers/rightstimulus_gazetracker_T010.csv,vr_simon_task/P01/S001/trackers/convergencedistance_convergence_T010.csv,vr_simon_task/P01/S001/trackers/validconvergence_convergence_T010.csv,vr_simon_task/P01/S001/trackers/eyeblinking_blinking_T010.csv,vr_simon_task/P01/S001/trackers/gazeray_gazeray_T010.csv,vr_simon_task/P01/S001/trackers/controllertracker_movement_T010.csv,vr_simon_task/P01/S001/trackers/headtracker_movement_T010.csv,vr_simon_task/P01/S001/trackers/fpstracker_fps_T010.csv,,,,
